year,anthrome,label,count
200,51,Residential woodlands,48993
200,52,Populated woodlands,132089
200,53,Remote woodlands,541985
200,54,Inhabited drylands,779155
200,61,Wild woodlands,235562
200,62,Wild drylands,301092
200,63,Ice (uninhabited),131228
200,70,No land,0
300,11,Urban,1
300,12,Mixed settlements,868
300,21,Rice villages,15
300,22,Irrigated villages,126
300,23,Rainfed villages,502
300,24,Pastoral villages,0
300,31,Residential irrigated croplands,212
300,32,Residential rainfed croplands,14589
300,33,Populated croplands,6693
300,34,Remote croplands,2223
300,41,Residential rangelands,550
300,42,Populated rangelands,10110
300,43,Remote rangelands,13750
300,51,Residential woodlands,40337
300,52,Populated woodlands,148359
300,53,Remote woodlands,538823
300,54,Inhabited drylands,780384
300,61,Wild woodlands,235444
300,62,Wild drylands,301168
300,63,Ice (uninhabited),131248
300,70,No land,0
400,11,Urban,0
400,12,Mixed settlements,1078
400,21,Rice villages,13
400,22,Irrigated villages,130
400,23,Rainfed villages,576
400,24,Pastoral villages,2
400,31,Residential irrigated croplands,228
400,32,Residential rainfed croplands,14723
400,33,Populated croplands,6969
400,34,Remote croplands,2185
400,41,Residential rangelands,493
400,42,Populated rangelands,10444
400,43,Remote rangelands,13058
400,51,Residential woodlands,44949
400,52,Populated woodlands,152151
400,53,Remote woodlands,529847
400,54,Inhabited drylands,781547
400,61,Wild woodlands,234958
400,62,Wild drylands,300820
400,63,Ice (uninhabited),131231
400,70,No land,0
500,11,Urban,0
500,12,Mixed settlements,1204
500,21,Rice villages,9
500,22,Irrigated villages,101
500,23,Rainfed villages,707
500,24,Pastoral villages,2
500,31,Residential irrigated croplands,351
500,32,Residential rainfed croplands,14247
500,33,Populated croplands,7100
500,34,Remote croplands,2098
500,41,Residential rangelands,632
500,42,Populated rangelands,11856
500,43,Remote rangelands,17592
500,51,Residential woodlands,47576
500,52,Populated woodlands,156856
500,53,Remote woodlands,522613
500,54,Inhabited drylands,776322
500,61,Wild woodlands,234307
500,62,Wild drylands,300605
500,63,Ice (uninhabited),131224
500,70,No land,0
600,11,Urban,0
600,12,Mixed settlements,1308
600,21,Rice villages,9
600,22,Irrigated villages,69
600,23,Rainfed villages,809
600,24,Pastoral villages,6
600,31,Residential irrigated croplands,411
600,32,Residential rainfed croplands,15301
600,33,Populated croplands,6851
600,34,Remote croplands,2127
600,41,Residential rangelands,1584
600,42,Populated rangelands,14529
600,43,Remote rangelands,25922
600,51,Residential woodlands,50211
600,52,Populated woodlands,159586
600,53,Remote woodlands,516219
600,54,Inhabited drylands,765744
600,61,Wild woodlands,233908
600,62,Wild drylands,299614
600,63,Ice (uninhabited),131194
600,70,No land,0
700,11,Urban,0
700,12,Mixed settlements,1416
700,21,Rice villages,16
700,22,Irrigated villages,107
700,23,Rainfed villages,976
700,24,Pastoral villages,6
700,31,Residential irrigated croplands,405
700,32,Residential rainfed croplands,14670
700,33,Populated croplands,6918
700,34,Remote croplands,2417
700,41,Residential rangelands,1501
700,42,Populated rangelands,15534
700,43,Remote rangelands,35633
700,51,Residential woodlands,51110
700,52,Populated woodlands,167558
700,53,Remote woodlands,507240
700,54,Inhabited drylands,755594
700,61,Wild woodlands,233861
700,62,Wild drylands,299230
700,63,Ice (uninhabited),131210
700,70,No land,0
800,11,Urban,0
800,12,Mixed settlements,1551
800,21,Rice villages,20
800,22,Irrigated villages,123
800,23,Rainfed villages,1140
800,24,Pastoral villages,8
800,31,Residential irrigated croplands,335
800,32,Residential rainfed croplands,14993
800,33,Populated croplands,6714
800,34,Remote croplands,2657
800,41,Residential rangelands,3105
800,42,Populated rangelands,20818
800,43,Remote rangelands,38978
800,51,Residential woodlands,48638
800,52,Populated woodlands,173140
800,53,Remote woodlands,497863
800,54,Inhabited drylands,751285
800,61,Wild woodlands,233758
800,62,Wild drylands,299058
800,63,Ice (uninhabited),131218
800,70,No land,0
900,11,Urban,0
900,12,Mixed settlements,1691
900,21,Rice villages,20
900,22,Irrigated villages,141
900,23,Rainfed villages,1313
900,24,Pastoral villages,7
900,31,Residential irrigated croplands,416
900,32,Residential rainfed croplands,18647
900,33,Populated croplands,6735
900,34,Remote croplands,2948
900,41,Residential rangelands,4939
900,42,Populated rangelands,27155
900,43,Remote rangelands,41756
900,51,Residential woodlands,51570
900,52,Populated woodlands,171645
900,53,Remote woodlands,487926
900,54,Inhabited drylands,744830
900,61,Wild woodlands,233728
900,62,Wild drylands,298770
900,63,Ice (uninhabited),131165
900,70,No land,0
1000,11,Urban,1
1000,12,Mixed settlements,1772
1000,21,Rice villages,23
1000,22,Irrigated villages,154
1000,23,Rainfed villages,1463
1000,24,Pastoral villages,7
1000,31,Residential irrigated croplands,389
1000,32,Residential rainfed croplands,20293
1000,33,Populated croplands,6847
1000,34,Remote croplands,3137
1000,41,Residential rangelands,5668
1000,42,Populated rangelands,30087
1000,43,Remote rangelands,44792
1000,51,Residential woodlands,51969
1000,52,Populated woodlands,176434
1000,53,Remote woodlands,479843
1000,54,Inhabited drylands,739380
1000,61,Wild woodlands,233666
1000,62,Wild drylands,298633
1000,63,Ice (uninhabited),130844
1000,70,No land,0
1100,11,Urban,4
1100,12,Mixed settlements,1972
1100,21,Rice villages,16
1100,22,Irrigated villages,148
1100,23,Rainfed villages,1993
1100,24,Pastoral villages,13
1100,31,Residential irrigated croplands,496
1100,32,Residential rainfed croplands,31653
1100,33,Populated croplands,6713
1100,34,Remote croplands,3257
1100,41,Residential rangelands,7610
1100,42,Populated rangelands,33762
1100,43,Remote rangelands,45811
1100,51,Residential woodlands,60875
1100,52,Populated woodlands,180222
1100,53,Remote woodlands,453788
1100,54,Inhabited drylands,735697
1100,61,Wild woodlands,233620
1100,62,Wild drylands,296979
1100,63,Ice (uninhabited),130773
1100,70,No land,0
1200,11,Urban,2
1200,12,Mixed settlements,2142
1200,21,Rice villages,33
1200,22,Irrigated villages,140
1200,23,Rainfed villages,2502
1200,24,Pastoral villages,15
1200,31,Residential irrigated croplands,494
1200,32,Residential rainfed croplands,39819
1200,33,Populated croplands,6546
1200,34,Remote croplands,3801
1200,41,Residential rangelands,10971
1200,42,Populated rangelands,33352
1200,43,Remote rangelands,46874
1200,51,Residential woodlands,64245
1200,52,Populated woodlands,189739
1200,53,Remote woodlands,435566
1200,54,Inhabited drylands,734096
1200,61,Wild woodlands,232359
1200,62,Wild drylands,293245
1200,63,Ice (uninhabited),129461
1200,70,No land,0
1300,11,Urban,2
1300,12,Mixed settlements,2274
1300,21,Rice villages,38
1300,22,Irrigated villages,161
1300,23,Rainfed villages,2232
1300,24,Pastoral villages,17
1300,31,Residential irrigated croplands,511
1300,32,Residential rainfed croplands,43499
1300,33,Populated croplands,5239
1300,34,Remote croplands,3654
1300,41,Residential rangelands,12567
1300,42,Populated rangelands,33534
1300,43,Remote rangelands,47643
1300,51,Residential woodlands,65409
1300,52,Populated woodlands,193020
1300,53,Remote woodlands,427599
1300,54,Inhabited drylands,733041
1300,61,Wild woodlands,232314
1300,62,Wild drylands,293166
1300,63,Ice (uninhabited),129482
1300,70,No land,0
1400,11,Urban,2
1400,12,Mixed settlements,2410
1400,21,Rice villages,37
1400,22,Irrigated villages,138
1400,23,Rainfed villages,2129
1400,24,Pastoral villages,21
1400,31,Residential irrigated croplands,467
1400,32,Residential rainfed croplands,34901
1400,33,Populated croplands,6554
1400,34,Remote croplands,3510
1400,41,Residential rangelands,11529
1400,42,Populated rangelands,37499
1400,43,Remote rangelands,48146
1400,51,Residential woodlands,66250
1400,52,Populated woodlands,202813
1400,53,Remote woodlands,422465
1400,54,Inhabited drylands,731895
1400,61,Wild woodlands,232307
1400,62,Wild drylands,292981
1400,63,Ice (uninhabited),129348
1400,70,No land,0
1500,11,Urban,2
1500,12,Mixed settlements,2703
1500,21,Rice villages,38
1500,22,Irrigated villages,145
1500,23,Rainfed villages,2729
1500,24,Pastoral villages,15
1500,31,Residential irrigated croplands,589
1500,32,Residential rainfed croplands,43246
1500,33,Populated croplands,6728
1500,34,Remote croplands,4293
1500,41,Residential rangelands,13376
1500,42,Populated rangelands,38971
1500,43,Remote rangelands,51228
1500,51,Residential woodlands,71999
1500,52,Populated woodlands,205904
1500,53,Remote woodlands,406359
1500,54,Inhabited drylands,723525
1500,61,Wild woodlands,232240
1500,62,Wild drylands,292079
1500,63,Ice (uninhabited),129233
1500,70,No land,0
1600,11,Urban,3
1600,12,Mixed settlements,2992
1600,21,Rice villages,43
1600,22,Irrigated villages,165
1600,23,Rainfed villages,3826
1600,24,Pastoral villages,32
1600,31,Residential irrigated croplands,529
1600,32,Residential rainfed croplands,45658
1600,33,Populated croplands,4060
1600,34,Remote croplands,5998
1600,41,Residential rangelands,15418
1600,42,Populated rangelands,46329
1600,43,Remote rangelands,57075
1600,51,Residential woodlands,70566
1600,52,Populated woodlands,171085
1600,53,Remote woodlands,441480
1600,54,Inhabited drylands,707515
1600,61,Wild woodlands,232407
1600,62,Wild drylands,291098
1600,63,Ice (uninhabited),129123
1600,70,No land,0
1700,11,Urban,5
1700,12,Mixed settlements,5245
1700,21,Rice villages,41
1700,22,Irrigated villages,124
1700,23,Rainfed villages,5413
1700,24,Pastoral villages,114
1700,31,Residential irrigated croplands,516
1700,32,Residential rainfed croplands,49241
1700,33,Populated croplands,3534
1700,34,Remote croplands,6691
1700,41,Residential rangelands,17174
1700,42,Populated rangelands,51686
1700,43,Remote rangelands,62638
1700,51,Residential woodlands,70377
1700,52,Populated woodlands,175787
1700,53,Remote woodlands,427862
1700,54,Inhabited drylands,697377
1700,61,Wild woodlands,232667
1700,62,Wild drylands,290977
1700,63,Ice (uninhabited),127933
1700,70,No land,0
1710,11,Urban,7
1710,12,Mixed settlements,5333
1710,21,Rice villages,49
1710,22,Irrigated villages,108
1710,23,Rainfed villages,6063
1710,24,Pastoral villages,108
1710,31,Residential irrigated croplands,593
1710,32,Residential rainfed croplands,51729
1710,33,Populated croplands,3378
1710,34,Remote croplands,7219
1710,41,Residential rangelands,17047
1710,42,Populated rangelands,51711
1710,43,Remote rangelands,64108
1710,51,Residential woodlands,70879
1710,52,Populated woodlands,178351
1710,53,Remote woodlands,423474
1710,54,Inhabited drylands,690927
1710,61,Wild woodlands,233108
1710,62,Wild drylands,290782
1710,63,Ice (uninhabited),130428
1710,70,No land,0
1720,11,Urban,9
1720,12,Mixed settlements,5229
1720,21,Rice villages,63
1720,22,Irrigated villages,106
1720,23,Rainfed villages,6916
1720,24,Pastoral villages,107
1720,31,Residential irrigated croplands,673
1720,32,Residential rainfed croplands,53704
1720,33,Populated croplands,3465
1720,34,Remote croplands,8099
1720,41,Residential rangelands,17040
1720,42,Populated rangelands,54396
1720,43,Remote rangelands,68723
1720,51,Residential woodlands,72369
1720,52,Populated woodlands,180710
1720,53,Remote woodlands,417321
1720,54,Inhabited drylands,682610
1720,61,Wild woodlands,233146
1720,62,Wild drylands,290300
1720,63,Ice (uninhabited),130416
1720,70,No land,0
1730,11,Urban,13
1730,12,Mixed settlements,5224
1730,21,Rice villages,73
1730,22,Irrigated villages,98
1730,23,Rainfed villages,7702
1730,24,Pastoral villages,110
1730,31,Residential irrigated croplands,759
1730,32,Residential rainfed croplands,55834
1730,33,Populated croplands,3579
1730,34,Remote croplands,9337
1730,41,Residential rangelands,16990
1730,42,Populated rangelands,59054
1730,43,Remote rangelands,76958
1730,51,Residential woodlands,73324
1730,52,Populated woodlands,183129
1730,53,Remote woodlands,411391
1730,54,Inhabited drylands,671139
1730,61,Wild woodlands,233145
1730,62,Wild drylands,287135
1730,63,Ice (uninhabited),130408
1730,70,No land,0
1740,11,Urban,12
1740,12,Mixed settlements,5281
1740,21,Rice villages,102
1740,22,Irrigated villages,94
1740,23,Rainfed villages,9177
1740,24,Pastoral villages,106
1740,31,Residential irrigated croplands,823
1740,32,Residential rainfed croplands,57974
1740,33,Populated croplands,3588
1740,34,Remote croplands,10631
1740,41,Residential rangelands,16758
1740,42,Populated rangelands,64183
1740,43,Remote rangelands,87114
1740,51,Residential woodlands,74568
1740,52,Populated woodlands,183693
1740,53,Remote woodlands,406773
1740,54,Inhabited drylands,655500
1740,61,Wild woodlands,232876
