SGB_ID,Genome_Name,Study,Sample_ID,Country,Westernized,Body_Site,Age_Category
1887,FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.3,FerrettiP_2018,CA_C10029IS2503FE_t3M15,ITA,Yes,Stool,Newborn
1887,HeQ_2017__RSZAXPI003081-115__bin.31,HeQ_2017,RSZAXPI003081-115,CHN,Yes,Stool,Adult
1887,HeQ_2017__RSZAXPI003102-140__bin.5,HeQ_2017,RSZAXPI003102-140,CHN,Yes,Stool,Adult
1887,HeQ_2017__RSZAXPI003105-143__bin.29,HeQ_2017,RSZAXPI003105-143,CHN,Yes,Stool,Adult
1887,HeQ_2017__SZAXPI029460-123__bin.30,HeQ_2017,SZAXPI029460-123,CHN,Yes,Stool,Adult
1887,LeChatelierE_2013__MH0321__bin.36,LeChatelierE_2013,MH0321,DNK,Yes,Stool,Adult
1887,LiJ_2014__O2.UC8-0__bin.48,LiJ_2014,O2.UC8-0,ESP,Yes,Stool,Adult
1887,LiJ_2014__O2.UC8-1__bin.57,LiJ_2014,O2.UC8-1,ESP,Yes,Stool,Adult
1910,BackhedF_2015__SID326_M__bin.29,BackhedF_2015,SID326_M,SWE,Yes,Stool,Adult
1910,Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33,Bengtsson-PalmeJ_2015,TRAVELRES13,SWE,Yes,Stool,Adult
1910,Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49,Bengtsson-PalmeJ_2015,TRAVELRES14,SWE,Yes,Stool,Adult
1910,Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93,Bengtsson-PalmeJ_2015,TRAVELRES5,SWE,Yes,Stool,Adult
1910,Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113,Bengtsson-PalmeJ_2015,TRAVELRES6,SWE,Yes,Stool,Adult
1910,Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40,Bengtsson-PalmeJ_2015,TRAVELRES67,SWE,Yes,Stool,Adult
1910,Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21,Bengtsson-PalmeJ_2015,TRAVELRES68,SWE,Yes,Stool,Adult
1910,FengQ_2015__SID531248__bin.18,FengQ_2015,SID531248,AUT,Yes,Stool,Senior
1910,LeChatelierE_2013__MH0126__bin.46,LeChatelierE_2013,MH0126,DNK,Yes,Stool,Adult
1910,LeChatelierE_2013__MH0140__bin.7,LeChatelierE_2013,MH0140,DNK,Yes,Stool,Adult
1912,CosteaPI_2017__SID713B014-11-0-0__bin.41,CosteaPI_2017,SID713B014-11-0-0,KAZ,Yes,Stool,Adult
1912,VogtmannE_2016__MMRS42780924ST-27-0-0__bin.13,VogtmannE_2016,MMRS42780924ST-27-0-0,USA,Yes,Stool,Adult
1912,VogtmannE_2016__MMRS65862658ST-27-0-0__bin.53,VogtmannE_2016,MMRS65862658ST-27-0-0,USA,Yes,Stool,Senior
1912,ZeeviD_2015__PNP_Main_444__bin.22,ZeeviD_2015,PNP_Main_444,ISR,Yes,Stool,Adult
1912,ZeeviD_2015__PNP_Main_563__bin.22,ZeeviD_2015,PNP_Main_563,ISR,Yes,Stool,Adult
1912,ZeeviD_2015__PNP_Main_624__bin.7,ZeeviD_2015,PNP_Main_624,ISR,Yes,Stool,Adult
1912,ZellerG_2014__CCIS21126322ST-4-0__bin.20,ZellerG_2014,CCIS21126322ST-4-0,FRA,Yes,Stool,Adult
1913,GeversD_2014__SKBSTL033__bin.48,GeversD_2014,SKBSTL033,USA,Yes,Stool,Adult
1913,HeQ_2017__RSZAXPI003082-116__bin.44,HeQ_2017,RSZAXPI003082-116,CHN,Yes,Stool,Adult
1913,HeQ_2017__RSZAXPI003103-141__bin.24,HeQ_2017,RSZAXPI003103-141,CHN,Yes,Stool,Adult
1913,LiJ_2014__MH0192__bin.45,LiJ_2014,MH0192,DNK,Yes,Stool,Adult
1913,LoombaR_2017__SID5208_byt__bin.24,LoombaR_2017,SID5208_byt,USA,Yes,Stool,Adult
1913,NielsenHB_2014__O2_UC57_2__bin.54,NielsenHB_2014,O2_UC57_2,ESP,Yes,Stool,Adult
1913,NielsenHB_2014__O2_UC58_2__bin.19,NielsenHB_2014,O2_UC58_2,ESP,Yes,Stool,Adult
1913,QinN_2014__LD-33__bin.7,QinN_2014,LD-33,CHN,Yes,Stool,Adult
1913,XieH_2016__YSZC12003_36453__bin.23,XieH_2016,YSZC12003_36453,GBR,Yes,Stool,Adult
1954,HeQ_2017__RSZAXPI003103-141__bin.4,HeQ_2017,RSZAXPI003103-141,CHN,Yes,Stool,Adult
1954,ZeeviD_2015__PNP_Main_577__bin.26,ZeeviD_2015,PNP_Main_577,ISR,Yes,Stool,Adult
17823,BritoIL_2016__W1.11.ST__bin.30,BritoIL_2016,W1.11.ST,FJI,No,Stool,Child
17823,ZellerG_2014__CCIS38765456ST-20-0__bin.10,ZellerG_2014,CCIS38765456ST-20-0,FRA,Yes,Stool,Senior
1429,FengQ_2015__SID31878__bin.62,FengQ_2015,SID31878,AUT,Yes,Stool,Adult
1429,FerrettiP_2018__CA_C10035MS2598FE_t0M15__bin.13,FerrettiP_2018,CA_C10035MS2598FE_t0M15,ITA,Yes,Stool,Adult
1429,KarlssonFH_2013__S378__bin.32,KarlssonFH_2013,S378,SWE,Yes,Stool,Senior
1429,LeChatelierE_2013__MH0181__bin.63,LeChatelierE_2013,MH0181,DNK,Yes,Stool,Adult
1429,LeChatelierE_2013__MH0405__bin.34,LeChatelierE_2013,MH0405,DNK,Yes,Stool,Adult
